"Gene" "Cannonical" "Length" "Cromo"
"KRTAP24-1" 1 1642 "21"
"ASH2LP3" 1 1642 "22"
"CDX4" 1 1642 "X"
"LYPD3" 1 1642 "19"
"CXCL8" 1 1642 "4"
"LINC02728" 1 1642 "11"
"AKR1B15" 1 1641 "7"
"ELOA3DP" 1 1641 "18"
"ELOA3BP" 1 1641 "18"
"ELOA3P" 1 1641 "18"
"BPIFB1" 1 1641 "20"
"LINC01524" 1 1641 "20"
"LINC02603" 1 1641 "9"
"LINC01252" 1 1641 "12"
"PDE4DIPP1" 1 1641 "1"
"DSCAM-AS1" 1 1640 "HG2265_PATCH"
"ALDOA" 1 1640 "16"
"MESP2" 1 1640 "15"
"DNAJB11" 1 1640 "3"
"LINC00836" 1 1640 "10"
"RAB5C" 1 1640 "17"
"PSG5" 1 1640 "19"
"LINC01277" 1 1640 "6"
"KARS1P2" 1 1639 "13"
"ALDH3A1" 1 1639 "17"
"PIGU" 1 1639 "20"
"ODCP" 1 1639 "7"
"HSPD1P13" 1 1639 "11"
"CD300A" 1 1638 "HG2580_PATCH"
"RLBP1" 1 1638 "15"
"ANXA5" 1 1638 "4"
"CCR3" 1 1638 "3"
"TTTY9B" 1 1637 "Y"
"TTTY9A" 1 1637 "Y"
"TAS2R13" 1 1637 "HSCHR12_2_CTG2"
"JAGN1" 1 1637 "3"
"ALG8" 1 1637 "11"
"OXER1" 1 1637 "2"
"LINC00299" 1 1637 "2"
"HSPD1P9" 1 1636 "13"
"IFNL4" 1 1636 "HG2569_PATCH"
"C1GALT1C1" 1 1636 "HG439_PATCH"
"MPC1-DT" 1 1636 "6"
"NIPSNAP3A" 1 1636 "9"
"KRT14" 1 1636 "17"
"ATP6V0D1" 1 1636 "16"
"MTX1" 1 1636 "1"
"KPTN" 1 1636 "19"
"HSPBP1" 1 1635 "19"
"SAGE3P" 1 1635 "X"
"EPHX1" 1 1635 "1"
"CTD-2194D22.4" 1 1635 "5"
"LINC01322" 1 1635 "3"
"LYPLA2" 1 1635 "1"
"TAB3P1" 1 1634 "Y"
"NPSR1" 1 1634 "7"
"SMPD4P2" 1 1634 "13"
"LHPP" 1 1634 "10"
"TNFSF9" 1 1634 "19"
"MTNR1B" 1 1634 "11"
"HAT1" 1 1634 "HSCHR2_11_CTG7_2"
"GUSBP11" 1 1634 "22"
"ZNF296" 1 1634 "19"
"FBXL9P" 1 1634 "16"
"CASP6" 1 1634 "4"
"CCR5AS" 1 1634 "3"
"LINC02787" 1 1634 "1"
"SHLD1" 1 1633 "20"
"CST9" 1 1633 "20"
"IQCB2P" 1 1633 "6"
"AVEN" 1 1633 "15"
"DTX2P1" 1 1633 "7"
"TEDC2" 1 1633 "16"
"TMED1" 1 1633 "19"
"ECHDC3" 1 1633 "10"
"TSGA13" 1 1633 "7"
"APOBEC2" 1 1633 "6"
"POU6F2-AS2" 1 1633 "7"
"LINC01554" 1 1633 "5"
"TAF1D" 1 1632 "11"
"KIR2DL5B" 1 1632 "HSCHR19KIR_FH08_BAX_HAP_CTG3_1"
"LINC00857" 1 1632 "10"
"ZNF725P" 1 1632 "19"
"RNASE13" 1 1631 "14"
"LINC00029" 1 1631 "20"
"PSMD7" 1 1631 "16"
"DPEP1" 1 1631 "16"
"OAS1" 1 1631 "12"
"RNF126" 1 1631 "19"
"CTNNBL1P1" 1 1630 "X"
"TWIST1" 1 1630 "7"
"COQ9" 1 1630 "16"
"FBXL8" 1 1630 "16"
"KIR2DS1" 1 1630 "HSCHR19KIR_GRC212_AB_HAP_CTG3_1"
"SLC25A19" 1 1630 "17"
"LINC01752" 1 1630 "20"
"CPEB2-DT" 1 1630 "4"
"OGG1" 1 1630 "3"
"IL10" 1 1630 "1"
"LINC01817" 1 1630 "2"
"TRIM51" 1 1629 "11"
"ABI3" 1 1629 "17"
"OLAH" 1 1629 "10"
"CTSK" 1 1629 "1"
"MED31" 1 1629 "17"
"SPATA3" 1 1629 "2"
"LINC02723" 1 1629 "11"
"YES1P1" 1 1628 "22"
"KRT27" 1 1628 "17"
"ZKSCAN8P1" 1 1628 "6"
"ZNF683" 1 1628 "1"
"DXO" 1 1628 "HSCHR6_MHC_COX_CTG1"
"LINC02716" 1 1628 "11"
"TUBA1B" 1 1627 "12"
"C2orf15" 1 1627 "2"
"TMEM147-AS1" 1 1627 "19"
"AGK-DT" 1 1627 "7"
"LINC00937" 1 1627 "12"
"IRF9" 1 1626 "HG1_PATCH"
"CPXCR1" 1 1626 "X"
"PGK2" 1 1626 "6"
"VTN" 1 1626 "17"
"MS4A3" 1 1626 "HSCHR11_1_CTG3_1"
"ZNF519P1" 1 1626 "10"
"LEFTY1" 1 1626 "1"
"METTL21C" 1 1625 "13"
"GOLGA6GP" 1 1625 "15"
"KRT7" 1 1625 "12"
"PHLDA1-DT" 1 1625 "12"
"CCT5P2" 1 1624 "13"
"STIP1P3" 1 1624 "X"
"FMN2P1" 1 1624 "X"
"ATOSBP1" 1 1624 "3"
"CNBD1" 1 1624 "8"
"KISS1R" 1 1624 "19"
"LINC02653" 1 1624 "10"
"TTC23L-AS1" 1 1624 "5"
"CYB5R1" 1 1624 "1"
"SLC10A6" 1 1623 "4"
"LINC01165" 1 1623 "10"
"ANKRD62P1" 1 1623 "22"
"SLC35D2" 1 1623 "9"
"CORO1A" 1 1623 "16"
"HAVCR1" 1 1623 "5"
"FAM106C" 1 1623 "17"
"ERP29" 1 1623 "12"
"SEMG1" 1 1622 "20"
"RAPSN" 1 1622 "11"
"CTXN3" 1 1622 "5"
"ACOT2" 1 1622 "14"
"GJA4" 1 1621 "1"
"DPY19L4P2" 1 1621 "7"
"JMJD6" 1 1621 "17"
"UCP1" 1 1621 "4"
"TMEM59L" 1 1621 "19"
"PLA2G2C" 1 1621 "1"
"GOLGA2P11" 1 1621 "15"
"XRCC6P3" 1 1621 "1"
"GARIN2" 1 1620 "14"
"CDK3" 1 1620 "17"
"GPR50-AS1" 1 1620 "X"
"CENPVL2" 1 1620 "X"
"CENPVL1" 1 1620 "X"
"LINC01342" 1 1620 "1"
"PEX11B" 1 1620 "1"
"UGT2B27P" 1 1620 "4"
"EIF2AK3-DT" 1 1620 "2"
"BRD7P7" 1 1619 "3"
"AKR1B10" 1 1619 "7"
"RGS19" 1 1619 "20"
"C4orf17" 1 1619 "4"
"PRSS33" 1 1619 "16"
"SF3A2" 1 1619 "19"
"TSPAN1" 1 1619 "1"
"CDY3P" 1 1618 "Y"
"CCT5P1" 1 1618 "5"
"GTF2A1L" 1 1618 "2"
"ASNSP6" 1 1618 "18"
"VPS37D" 1 1618 "7"
"TMEM114" 1 1618 "16"
"HSPD1P14" 1 1618 "1"
"DDX19A-DT" 1 1618 "16"
"CDC37" 1 1618 "19"
"SUGCT" 1 1617 "7"
"TPTEP1" 1 1617 "22"
"ERVFRD-3" 1 1617 "9"
"GLYATL1" 1 1617 "11"
"ITM2A" 1 1616 "X"
"VBP1" 1 1616 "X"
"KRT33B" 1 1616 "HSCHR17_13_CTG4"
"ZNF789" 1 1616 "7"
"TUBB2A" 1 1616 "6"
"DIO3OS" 1 1616 "14"
"DDHD1-DT" 1 1616 "14"
"NOP14-AS1" 1 1616 "4"
"KIAA2012-AS1" 1 1616 "2"
"MIR217HG" 1 1616 "2"
"CXCR3" 1 1615 "X"
"SLC35B1" 1 1615 "17"
"SOWAHD" 1 1615 "X"
"KRT31" 1 1615 "HSCHR17_13_CTG4"
"SLC25A14" 1 1615 "X"
"SNHG22" 1 1615 "18"
"ARHGAP8" 1 1615 "22"
"SLC22A31" 1 1615 "16"
"DECR2" 1 1615 "HSCHR16_CTG2"
"ORC6" 1 1615 "16"
"RNF157-AS1" 1 1615 "17"
"SNRNP40" 1 1615 "1"
"LINC01053" 1 1614 "13"
"HMX2" 1 1614 "10"
"TBC1D3JP" 1 1614 "HSCHR17_7_CTG4"
"NOXA1" 1 1614 "9"
"KIR2DL2" 1 1614 "HSCHR19KIR_RP5_B_HAP_CTG3_1"
"TWF2" 1 1614 "3"
"PEF1" 1 1614 "1"
"KIR2DL1" 1 1614 "19"
"ZNF222" 1 1614 "19"
"MPND" 1 1614 "19"
"LINC01703" 1 1614 "1"
"CDY19P" 1 1613 "Y"
"TUBAP2" 1 1613 "11"
"ASB9" 1 1613 "X"
"TYMS" 1 1613 "18"
"AKR1E2" 1 1613 "10"
"SMN-AS1" 1 1613 "HSCHR5_1_CTG1_1"
"PGA3" 1 1613 "11"
"IL34" 1 1613 "16"
"KLF1" 1 1613 "19"
"NDUFS2" 1 1613 "1"
"SBDS" 1 1613 "7"
"LINC02601" 1 1613 "X"
"WHAMMP1" 1 1613 "15"
"LINC02672" 1 1613 "10"
"UGT2B26P" 1 1613 "4"
"PABPC1P9" 1 1612 "HG1485_PATCH"
"LINC00327" 1 1612 "13"
"CFAP161" 1 1612 "15"
"FNDC4" 1 1612 "2"
"MOCS1P1" 1 1612 "16"
"FCHO2-DT" 1 1612 "5"
"CCT6P3" 1 1612 "7"
"PDZRN3-AS1" 1 1612 "3"
"CCT7P1" 1 1611 "6"
"LMAN2" 1 1611 "5"
"CCDC51" 1 1611 "3"
"PRKCH-AS1" 1 1611 "14"
"HOXC5" 1 1611 "12"
"GLMP" 1 1611 "1"
"ANKRD30BP2" 1 1610 "21"
"PRKACG" 1 1610 "9"
"KRTAP16-1" 1 1610 "HSCHR17_13_CTG4"
"TCP1P1" 1 1610 "7"
"FAM149B1P1" 1 1610 "15"
"RNF212B" 1 1610 "14"
"LEF1-AS1" 1 1610 "4"
"LINC02165" 1 1610 "16"
"PON2" 1 1610 "7"
"CDY18P" 1 1609 "Y"
"KIR2DS3" 1 1609 "HSCHR19KIR_G248_BA2_HAP_CTG3_1"
"WHAMMP3" 1 1609 "15"
"POLD2" 1 1609 "7"
"ATF7-NPFF" 1 1609 "12"
"HTR3D" 1 1609 "3"
"LINC01206" 1 1609 "3"
"APRG1" 1 1608 "3"
"ALDOC" 1 1608 "17"
"TUBG1" 1 1608 "17"
"LINC00452" 1 1607 "13"
"GLYATL1P1" 1 1607 "11"
"SPMIP7" 1 1607 "7"
"MAGEB2" 1 1607 "X"
"RBM4" 1 1607 "11"
"PDE7A-DT" 1 1607 "8"
"TBCC" 1 1606 "6"
"MDFI" 1 1606 "6"
"TPTE2P4" 1 1605 "Y"
"CBY2" 1 1605 "13"
"ATP5F1AP4" 1 1605 "14"
"SPAAR" 1 1605 "9"
"LINC00332" 1 1605 "13"
"CEND1" 1 1605 "11"
"ETV7" 1 1605 "6"
"MRPL11" 1 1605 "11"
"HLA-B" 1 1605 "HSCHR6_MHC_MCF_CTG1"
"SDS" 1 1605 "12"
"SLC38A6" 1 1605 "14"
"LINC02301" 1 1605 "14"
"IGSF11-AS1" 1 1605 "3"
"CDY7P" 1 1604 "Y"
"CHCHD3" 1 1604 "7"
"PRAMEF33" 1 1604 "HSCHR1_2_CTG3"
"ATP5F1AP10" 1 1603 "9"
"MTND5P17" 1 1603 "10"
"WHAMMP2" 1 1603 "HSCHR15_4_CTG8"
"EFL1P2" 1 1603 "4"
"MBIP" 1 1603 "14"
"NAA10" 1 1603 "X"
"GPX3" 1 1603 "5"
"ZNF204P" 1 1603 "6"
"RAB17" 1 1603 "2"
"RNFT1-DT" 1 1603 "17"
"CD200R1L" 1 1603 "3"
"ELL2P3" 1 1602 "13"
"CHMP4B" 1 1602 "20"
"XRCC4" 1 1602 "5"
"LINC01661" 1 1602 "1"
"ABCD1P2" 1 1601 "10"
"YPEL3" 1 1601 "16"
"PKMP5" 1 1601 "6"
"THOC3" 1 1601 "5"
"TMEM273" 1 1601 "10"
"DPP7" 1 1601 "9"
"WWP1-AS1" 1 1601 "8"
"PTBP1P" 1 1601 "14"
"CBLL1P1" 1 1600 "X"
"NTSR2" 1 1600 "2"
"FMO8P" 1 1600 "1"
"SERPINI1" 1 1600 "3"
"SIRT6" 1 1600 "19"
"CD247" 1 1600 "1"
"MAFIP" 1 1599 "GL000194.1"
"LINC02063" 1 1599 "5"
"C16orf46" 1 1599 "HG405_PATCH"
"RRAGA" 1 1599 "9"
"ATP6V1D" 1 1599 "14"
"ADAT3" 1 1599 "19"
"ATP6V1E2" 1 1599 "2"
"PTGR1" 1 1599 "9"
"GTF2B" 1 1599 "1"
"GNRHR2" 1 1599 "1"
"LINC01700" 1 1598 "21"
"CRYZL1" 1 1598 "21"
"PTGES2" 1 1598 "9"
"DHRS11" 1 1598 "HSCHR17_7_CTG4"
"POLR2J2-UPK3BL1" 1 1598 "7"
"BMPR1AP1" 1 1598 "6"
"WDR45" 1 1598 "X"
"PTPRD-DT" 1 1598 "9"
"DNPEP-AS1" 1 1598 "2"
"TEKT5" 1 1597 "16"
"LCN9" 1 1597 "9"
"LINC00898" 1 1597 "22"
"VENTXP1" 1 1597 "X"
"UGT2B24P" 1 1597 "4"
"CABP1" 1 1597 "12"
"DIO2-AS1" 1 1597 "14"
"PRAMEF20" 1 1597 "1"
"OR2W5P" 1 1597 "1"
"IRGC" 1 1596 "19"
"SAG" 1 1596 "HG2232_PATCH"
"ADAMTS7P5" 1 1596 "22"
"KIR2DL3" 1 1596 "HSCHR19KIR_FH15_A_HAP_CTG3_1"
"KIR2DS2" 1 1596 "HSCHR19KIR_FH06_BA1_HAP_CTG3_1"
"HPGDS" 1 1596 "4"
"ARF4" 1 1596 "3"
"TMEM222" 1 1596 "1"
"NF1P8" 1 1596 "2"
"DND1" 1 1595 "5"
"IRF3" 1 1595 "19"
"CFAP144P1" 1 1595 "7"
"UQCRC1" 1 1595 "3"
"LINC01682" 1 1595 "1"
"SGCG" 1 1594 "13"
"MTND5P28" 1 1594 "2"
"WDR53" 1 1594 "3"
"CASC23" 1 1594 "11"
"HLA-DQA1" 1 1594 "HSCHR6_MHC_DBB_CTG1"
"USP17L4" 1 1593 "HG76_PATCH"
"USP17L1" 1 1593 "HG76_PATCH"
"USP17L8" 1 1593 "HG76_PATCH"
"USP17L3" 1 1593 "HG76_PATCH"
"USP17L10" 1 1593 "4"
"USP17L11" 1 1593 "4"
"USP17L12" 1 1593 "4"
"USP17L13" 1 1593 "4"
"USP17L17" 1 1593 "4"
"USP17L18" 1 1593 "4"
"USP17L5" 1 1593 "4"
"USP17L27" 1 1593 "4"
"USP17L28" 1 1593 "4"
"USP17L29" 1 1593 "4"
"USP17L30" 1 1593 "4"
"USP17L20" 1 1593 "4"
"USP17L21" 1 1593 "4"
"USP17L22" 1 1593 "4"
"USP17L24" 1 1593 "4"
"USP17L25" 1 1593 "4"
"USP17L26" 1 1593 "4"
"USP17L14P" 1 1593 "4"
"USP17L16P" 1 1593 "4"
"USP17L19" 1 1593 "4"
"USP17L9P" 1 1593 "4"
"CCT6P2" 1 1593 "5"
"HCFC2P1" 1 1592 "13"
"OGFOD1P1" 1 1592 "13"
"PABIR3" 1 1592 "X"
"LINC00629" 1 1592 "X"
"H2AX" 1 1592 "11"
"ELF2P2" 1 1592 "6"
"LINC02685" 1 1592 "11"
"TTTY22" 1 1591 "Y"
"KPNA2P1" 1 1591 "4"
"BRIX1" 1 1591 "5"
"JPX" 1 1591 "X"
"GPR160P2" 1 1591 "17"
"APOBEC3B" 1 1590 "22"
"RBM39P1" 1 1590 "X"
"RAB11B" 1 1590 "19"
"PITHD1" 1 1590 "1"
"NKX2-2-AS1" 1 1590 "20"
"MOXD2P" 1 1590 "HSCHR7_2_CTG6"
"SGO1P2" 1 1589 "7"
"CIMAP1D" 1 1589 "19"
"PSMD13" 1 1589 "11"
"CCT6P4" 1 1589 "3"
"RAB24" 1 1588 "5"
"PRR23D1" 1 1588 "8"
"NPIPA8" 1 1588 "16"
"EXOSC9" 1 1587 "4"
"PRR23D2" 1 1587 "8"
"NT5DC4" 1 1587 "2"
"GPX5" 1 1587 "6"
"MTERF4" 1 1587 "2"
"NPAP1P3" 1 1586 "10"
"FAM151B" 1 1586 "5"
"SOCS5P5" 1 1586 "6"
"THEMIS3P" 1 1586 "18"
"TYMP" 1 1586 "22"
"CTB-30L5.1" 1 1586 "7"
"HAUS4" 1 1586 "14"
"PTPRT-AS1" 1 1586 "20"
"UGT2B25P" 1 1586 "4"
"C12orf60" 1 1586 "12"
"ETF1P2" 1 1586 "7"
"SEPTIN14P23" 1 1585 "Y"
"CCDC59" 1 1585 "12"
"OR11H4" 1 1585 "HG2526_HG2573_PATCH"
"FCER2" 1 1585 "19"
"CCDC78" 1 1585 "16"
"HMG20B" 1 1585 "19"
"LINC00635" 1 1585 "3"
"ZAR1L" 1 1584 "13"
"GATD3" 1 1584 "21"
"LINC00210" 1 1584 "1"
"RPA2" 1 1584 "1"
"PDSS1" 1 1584 "10"
"AMY2A" 1 1584 "1"
"GSDMB" 1 1584 "17"
"SOX2-OT" 1 1584 "3"
"AMY2B" 1 1584 "1"
"OVOL2" 1 1583 "20"
"CLDN9" 1 1583 "16"
"ACTL10" 1 1583 "20"
"ISG20" 1 1583 "15"
"LINC02346" 1 1583 "15"
"OVCH1-AS1" 1 1583 "12"
"ANKRD33BP6" 1 1582 "11"
"DDTL" 1 1582 "22"
"PNP" 1 1582 "HG2526_HG2573_PATCH"
"FHL2" 1 1582 "2"
"NRN1" 1 1582 "6"
"GPR52" 1 1582 "1"
"POLG2" 1 1582 "17"
"ARPC1A" 1 1582 "7"
"XKRYP7" 1 1581 "Y"
"XKRY" 1 1581 "Y"
"NT5M" 1 1581 "17"
"SLC25A39" 1 1581 "17"
"C2CD4B" 1 1581 "15"
"CDY5P" 1 1580 "Y"
"CDY9P" 1 1580 "Y"
"LINC02781" 1 1580 "1"
"SPEF1" 1 1580 "20"
"VIP" 1 1580 "6"
"ZCCHC9" 1 1580 "5"
"MYLKP1" 1 1580 "3"
"LINC01091" 1 1580 "4"
"CYP4F24P" 1 1580 "19"
"CD160" 1 1580 "1"
"PTPN11P4" 1 1579 "5"
"CKMT1B" 1 1579 "15"
"CKMT1A" 1 1579 "15"
"AK8" 1 1579 "9"
"CATSPER2P1" 1 1579 "15"
"YTHDF3-DT" 1 1579 "8"
"EGFLAM-AS4" 1 1579 "5"
"SPON2" 1 1579 "4"
"CYP4F23P" 1 1579 "19"
"LINC02715" 1 1579 "11"
"PPP1R21-DT" 1 1579 "2"
"KRTAP10-7" 1 1578 "21"
"MPV17L2" 1 1578 "19"
"PTHLH" 1 1578 "12"
"MRFAP1L1" 1 1578 "4"
"PRAMEF17" 1 1578 "1"
"MROH4P" 1 1578 "8"
"TM7SF2" 1 1578 "11"
"H2BC6-AS1" 1 1578 "6"
"ARL4D" 1 1578 "17"
"ECM1P2" 1 1577 "4"
"PDLIM2" 1 1577 "8"
"TRMO" 1 1577 "9"
"LINC01210" 1 1577 "3"
"SOCS5P3" 1 1576 "HG2066_PATCH"
"C20orf96" 1 1576 "20"
"SERPINA3" 1 1576 "14"
"PMPCAP1" 1 1576 "4"
"CBLC" 1 1576 "19"
"KLRK1" 1 1576 "12"
"MYO18B-AS1" 1 1575 "22"
"HPX" 1 1575 "11"
"LINC03103" 1 1575 "19"
"HES1" 1 1575 "3"
"ZBED5-AS1" 1 1575 "11"
"CPLANE2" 1 1574 "HG1343_HG173_HG459_PATCH"
"HSP90AB4P" 1 1574 "15"
"AUH" 1 1574 "9"
"SNTN" 1 1574 "3"
"MRFAP1" 1 1574 "4"
"AHSG" 1 1574 "3"
"PINX1-DT" 1 1574 "8"
"DHRS9" 1 1574 "2"
"ATP5F1BP1" 1 1574 "2"
"LINC03048" 1 1573 "HG1369_PATCH"
"R3HCC1" 1 1573 "8"
"SAAL1" 1 1573 "11"
"IBSP" 1 1573 "4"
"UQCRQ" 1 1573 "5"
"G6PC3" 1 1573 "17"
"ZNF733P" 1 1573 "7"
"LINC02834" 1 1573 "9"
"LINC01289" 1 1573 "8"
"TPSD1" 1 1573 "16"
"PSG2" 1 1573 "19"
"TBC1D27P" 1 1573 "17"
"INHCAP" 1 1573 "3"
"CHPT1" 1 1572 "12"
"LINC01767" 1 1572 "1"
"KRT18P40" 1 1571 "19"
"TMEM239" 1 1571 "20"
"GPR21" 1 1571 "9"
"HCRTR2" 1 1571 "6"
"NUP42" 1 1571 "7"
"KCNIP1-AS1" 1 1571 "5"
"RHCE" 1 1571 "1"
"BDNF-AS" 1 1571 "11"
"LINC02720" 1 1571 "11"
"CDY15P" 1 1570 "Y"
"GK4P" 1 1570 "X"
"LINC00622" 1 1570 "1"
"COQ10A" 1 1570 "12"
"FAM153CP" 1 1570 "5"
"HNRNPLP2" 1 1570 "15"
"HMGCL" 1 1570 "1"
"NPIPA6" 1 1570 "16"
"DUSP11" 1 1570 "2"
"RNF224" 1 1569 "9"
"LINC00442" 1 1569 "13"
"DEXI" 1 1569 "16"
"SULT1A1" 1 1569 "16"
"ATP8A2P2" 1 1568 "13"
"TMEM132D-AS2" 1 1568 "12"
"ARHGAP31-AS1" 1 1568 "3"
"ATG3" 1 1568 "3"
"ZCCHC17" 1 1568 "1"
"CDY10P" 1 1567 "Y"
"TPTE2P3" 1 1567 "13"
"TMEM203" 1 1567 "9"
"HSP90B3P" 1 1567 "1"
"PSMD14" 1 1567 "2"
"TMEM45A" 1 1567 "3"
"SMDT1" 1 1567 "HSCHR22_1_CTG1"
"ZNF679" 1 1567 "7"
"RPP21" 1 1567 "HSCHR6_MHC_APD_CTG1"
"ZBTB8OS" 1 1567 "1"
"COX6B2" 1 1566 "19"
"IL15RA" 1 1566 "10"
"TEX28" 1 1566 "X"
"LINC00311" 1 1566 "16"
"RBM14-RBM4" 1 1566 "11"
"NELFE" 1 1566 "HSCHR6_MHC_DBB_CTG1"
"OR8G5" 1 1566 "11"
"SOCS5P4" 1 1566 "X"
"OR5H2" 1 1566 "3"
"ZNF849P" 1 1566 "19"
"LINC03008" 1 1566 "7"
"AP4B1-AS1" 1 1566 "1"
"SOX21-AS1" 1 1565 "13"
"NANOS2" 1 1565 "19"
"CD2" 1 1565 "1"
"SMYD3" 1 1565 "1"
"ENKD1" 1 1565 "16"
"RAMAC" 1 1565 "15"
"CDO1" 1 1565 "5"
"STARD7-AS1" 1 1565 "2"
"DNMT3AP1" 1 1565 "2"
"APOBEC3G" 1 1564 "22"
"S1PR4" 1 1564 "19"
"GPR20" 1 1564 "HG2031_PATCH"
"BTNL2" 1 1564 "6"
"PLA2G12B" 1 1564 "10"
"ANKRD30BL" 1 1564 "2"
"GUSBP3" 1 1564 "5"
"TUBB4B" 1 1563 "9"
"BCAT2" 1 1563 "19"
"ATP6V1G1" 1 1563 "9"
"FRG2LP" 1 1563 "18"
"TBATA" 1 1563 "10"
"SLC35A2" 1 1563 "HSCHRX_3_CTG3"
"AADAC" 1 1563 "3"
"EGFEM1P" 1 1563 "3"
"RLIMP2" 1 1563 "1"
"TTTY5" 1 1562 "Y"
"CA2" 1 1562 "8"
"TUBB8" 1 1562 "10"
"C11orf68" 1 1562 "11"
"TUBB8B" 1 1562 "18"
"IFT46" 1 1562 "11"
"ASH2LP2" 1 1561 "22"
"LINC02336" 1 1561 "13"
"SPAG4" 1 1561 "20"
"SPP1" 1 1561 "4"
"KRT18P55" 1 1561 "17"
"GSTM5" 1 1561 "1"
"GCSH" 1 1560 "16"
"RDH14" 1 1560 "2"
"SNRPE" 1 1560 "1"
"HOMER3" 1 1560 "19"
"NDUFV1" 1 1560 "11"
"CLIC1" 1 1560 "HSCHR6_MHC_COX_CTG1"
"NEUROG3" 1 1560 "10"
"RPA4" 1 1560 "X"
"GLYATL2" 1 1560 "11"
"LINC01606" 1 1560 "8"
"TRH" 1 1560 "3"
"C2CD4D" 1 1560 "1"
"MT-RNR2" 1 1559 "Mito"
"LHFPL1" 1 1559 "X"
"KRT8P24" 1 1559 "15"
"MTCO1P14" 1 1559 "1"
"FAM242A" 1 1559 "20"
"GTF2A2" 1 1559 "15"
"NFKBIA" 1 1559 "14"
"RAD51B" 1 1559 "14"
"FKBP1C" 1 1559 "6"
"CTDSPL2P1" 1 1558 "X"
"MTCO1P24" 1 1558 "5"
"NKX2-5" 1 1558 "5"
"PRC1-AS1" 1 1558 "15"
"TRAF6P1" 1 1558 "10"
"CCT4P1" 1 1558 "7"
"POM121L14P" 1 1558 "6"
"RCC2P6" 1 1557 "11"
"ART3" 1 1557 "4"
"STK19" 1 1557 "HSCHR6_MHC_DBB_CTG1"
"CKM" 1 1556 "19"
"ARRDC1" 1 1556 "9"
"HSPD1P3" 1 1556 "HG76_PATCH"
"SFXN4" 1 1556 "10"
"GSCAR" 1 1556 "5"
"SKAP1" 1 1556 "17"
"ECHDC2" 1 1556 "1"
"KCTD6" 1 1555 "3"
"PROK2" 1 1555 "3"
"TM4SF1" 1 1555 "3"
"UBE2E3" 1 1555 "2"
"MLF2" 1 1555 "12"
"CLEC12A" 1 1555 "12"
"RASSF10-DT" 1 1555 "11"
"CDY22P" 1 1554 "Y"
"HMOX1" 1 1554 "22"
"ANXA2" 1 1554 "15"
"LYAR" 1 1554 "4"
"MTRFR" 1 1554 "12"
"UBQLN1-AS1" 1 1554 "9"
"CYLD-AS2" 1 1554 "16"
"RGS13" 1 1554 "1"
"LINC01309" 1 1553 "13"
"HSPD1P2" 1 1553 "HG76_PATCH"
"HLA-C" 1 1553 "HSCHR6_MHC_MCF_CTG1"
"S100Z" 1 1553 "5"
"PRDX3" 1 1553 "10"
"TMEM150A" 1 1553 "2"
"P3R3URF-PIK3R3" 1 1553 "1"
"ATPAF2" 1 1553 "17"
"MFSD4BP1" 1 1552 "5"
"ALG3" 1 1552 "3"
"EFNA1" 1 1552 "1"
"MFSD3" 1 1552 "8"
"SERPINC1" 1 1552 "1"
"NPIPA9" 1 1552 "16"
"LINC02208" 1 1552 "5"
"LINC03060" 1 1552 "7"
"HSPA8P6" 1 1552 "2"
"HAUS6P1" 1 1551 "7"
"PPFIA1P1" 1 1551 "2"
"OR4D2" 1 1551 "17"
"ANXA9" 1 1551 "1"
"RNF19BPY" 1 1550 "Y"
"KDELR1" 1 1550 "19"
"MRPS18C" 1 1550 "4"
"AMN" 1 1550 "14"
"ESRRAP2" 1 1549 "13"
"IMPDH1P3" 1 1549 "7"
"CXorf58" 1 1549 "X"
"MSANTD1" 1 1549 "4"
"CCDC74B" 1 1549 "HSCHR2_12_CTG7_2"
"CBLL2" 1 1549 "X"
"ZNF503-AS1" 1 1549 "10"
"PACRG" 1 1549 "6"
"NPY6R" 1 1549 "5"
"LINC01783" 1 1548 "HG1343_HG173_HG459_PATCH"
"ARHGAP16P" 1 1548 "14"
"SLC25A1" 1 1548 "22"
"MTIF2P1" 1 1548 "1"
"CCT4P2" 1 1548 "X"
"OR2AP1" 1 1548 "12"
"TMEM121" 1 1548 "14"
"DLK2" 1 1548 "6"
"BCAR3-AS1" 1 1548 "1"
"PPATP1" 1 1547 "3"
"LINC01908" 1 1547 "18"
"ERP27" 1 1547 "12"
"LINC00844" 1 1547 "10"
"EPCAM" 1 1547 "2"
"MIS18A" 1 1546 "21"
"MTCO1P10" 1 1546 "7"
"CA9" 1 1546 "9"
"SMIM5" 1 1546 "17"
"EFCAB3" 1 1546 "17"
"MARCKSL1" 1 1546 "1"
"AGPAT2" 1 1546 "9"
"METAP2P1" 1 1546 "2"
"PTF1A" 1 1545 "10"
"SOCS6P1" 1 1545 "X"
"CD151" 1 1545 "11"
"GRXCR1" 1 1545 "4"
"RDXP3" 1 1545 "X"
"DUSP13B" 1 1545 "10"
"RUVBL2" 1 1545 "19"
"LOH12CR2" 1 1545 "12"
"NUP35" 1 1545 "2"
"MTMR9LP" 1 1545 "1"
"SCAMP3" 1 1545 "1"
"IMPDH1P2" 1 1544 "X"
"SHQ1P1" 1 1544 "10"
"ZMAT2" 1 1544 "5"
"ALKBH3" 1 1544 "11"
"CCT6P1" 1 1544 "7"
"SF3B4" 1 1544 "1"
